,open,high,low,close,stoch_k,stoch_d,SMA_5,mom,roc,willr,disp_5,disp_10,rsi,cci,y
0,291.1,293.0,291.0,291.95,55.381750465549395,40.42743577518085,41.41809280013928,-2.1999999999999886,-1.1511765701709975,-40.0,0.9990760386010539,0.9943631750140494,25.856697819314746,-102.41317203015824,
1,292.35,299.75,291.7,298.95,70.09810426878433,54.97855975798575,42.0215482723738,6.849999999999966,1.6318204997450403,-6.130268199233798,1.019680742206153,1.016646545714237,49.55160606554704,131.9790582833742,
2,297.35,301.65,297.25,299.55,79.94096968609716,68.47360814014363,46.564229560443316,8.400000000000034,2.550496405340641,-14.0468227424747,1.0165608986323684,1.0174586461057709,50.99718570680187,230.54887547831922,
3,298.95,299.5,297.95,297.95,82.687750801977,77.57560825228616,54.94249121067544,6.199999999999989,2.3355658595225925,-31.75965665236048,1.0064858291389382,1.0108738061714362,47.119696656134394,144.04987973161124,
4,298.85,301.95,298.5,301.55,83.51351752287844,82.04741267031754,64.70052491918278,9.600000000000023,3.35904027420737,-3.6529680365294763,1.011946709621128,1.0206637445209767,55.34643538820345,167.635128283136,
5,301.75,304.35,301.1,302.25,82.6621949324253,82.95448775242691,73.205935314632,3.3000000000000114,3.528001370097633,-16.600790513834127,1.0073321113147806,1.0206493659986153,56.755229684520536,163.3165023643518,
6,302.35,303.55,301.45,301.85,81.5116579480009,82.56245680110153,78.72271472325515,2.3000000000000114,0.9700618832580776,-35.21126760563369,1.0040581445630843,1.016655159057611,55.67431121266139,122.24699364950689,
7,301.4,302.65,299.55,300.95,65.02098062684398,76.39827783575673,80.30764866237777,3.0,0.46736771824402723,-53.125000000000256,1.0001329301119934,1.0106115047516706,53.218381588774335,82.54908412855102,
8,300.7,302.1,299.35,299.75,44.343751253962445,63.62546327626911,77.51761966717437,-1.8000000000000114,0.6041282094311207,-78.63247863247872,0.9949546918046933,1.003683241252302,50.04827682958446,61.21836121836129,
9,299.4,303.15,298.95,302.25,43.11787749287732,50.82753645789458,71.27364442468976,0.0,0.23213397446526507,-38.88888888888906,1.0027869015626554,1.0085085085085086,55.93709952478319,69.75473602945459,
10,302.0,307.95,302.0,307.75,60.085470085470035,49.18236627743661,64.5192201296917,5.899999999999977,1.8196856906534276,-2.222222222222096,1.0173217414300353,1.0214750398300583,65.557272895886,127.91868041001949,
11,308.25,314.25,308.25,309.15,75.18518518518512,59.462844254510834,59.89929762037357,8.199999999999989,2.418419744906397,-33.33333333333346,1.017041155377175,1.0226596096592786,67.50224428261163,179.55729166666623,
12,309.25,309.95,306.75,309.85,78.56209150326804,71.27758225797442,58.8751585048171,10.100000000000023,2.957301877388274,-28.758169934640353,1.0134096484055597,1.0214947417004583,68.46123640021308,140.1232633448241,
13,310.0,310.25,307.5,309.15,68.19172113289757,73.97966594045026,60.94599903765334,6.899999999999977,3.1359466221851484,-33.33333333333346,1.0049410005526114,1.0154376744949907,66.35258777886833,120.85803245314607,
14,309.3,309.85,307.25,308.45,63.52051931883863,70.09144398500143,64.79878054307471,0.6999999999999886,2.051282051282044,-47.346938775510296,0.9986402046168287,1.0108474798453169,64.22233921299394,92.62552852134424,11.149999999999977
15,307.75,307.75,307.75,307.75,44.217687074829854,58.643309175522035,66.69096912269181,-1.3999999999999773,0.0,-86.66666666666667,0.9963738789782105,1.00673885308646,62.076083766455305,65.78036787470356,9.5
