,open,high,low,close,stoch_k,stoch_d,SMA_5,mom,roc,willr,disp_5,disp_10,rsi,cci,y
0,4577.0,4751.0,4577.0,4748.0,38.48101265822783,30.823720527320024,40.99995270115139,-132.0,-2.244183652460363,-36.20253164556962,1.0188403931161754,0.9997473258654089,47.128658199889564,-60.0458515089074,
1,4840.0,4874.0,4639.5,4650.0,51.317393342709785,36.555210208385155,39.21359945480283,23.0,-4.713114754098358,-44.44444444444444,1.0077586580555675,0.9851277488242024,44.53341360626129,-37.226064088828316,
2,4555.0,4624.0,4473.0,4624.0,56.58328310227043,48.793896367736004,39.05009943882029,153.0,-0.06483682731791562,-49.6031746031746,1.0022542049592509,0.9821163077184487,43.84360058481843,-99.01007758851343,
3,4598.0,4767.0,4585.0,4707.0,54.768831888532624,54.223169444504265,40.64539603579483,132.0,5.278461194363682,-41.64588528678304,1.0099124613800206,1.0008186002997992,46.68283889815712,-37.09763578715254,
4,4674.0,4694.0,4592.5,4635.0,49.716647534602636,53.68958750846855,44.81711681128281,-113.0,1.3114754098360715,-59.600997506234414,0.9919106317411401,0.9909351349040065,44.57733624386716,-53.95485014253793,
5,4594.0,4615.0,4482.5,4482.5,33.70739817123856,46.06429253145793,47.86523121211039,-167.5,-5.591828138163435,-97.63092269326684,0.9703011018031474,0.966066444681516,40.419116975144334,-115.96811279573251,
6,4384.0,4384.0,4172.5,4172.5,14.256026600166242,32.560024102002465,47.06619399083385,-451.5,-10.268817204301072,-100.0,0.9222624994474161,0.91317955003064,33.564935173917014,-217.53211991434753,
7,4280.0,4280.0,3930.0,4052.5,5.668226884004635,17.8772172184698,40.88285816098061,-654.5,-12.359429065743942,-85.36439665471924,0.9189550783464479,0.8982102288468997,31.348810923125008,-208.94391448481235,
8,3920.0,4138.0,3888.0,3981.0,8.724688294580758,9.549647259583866,31.948153723996533,-654.0,-15.423836838750793,-88.46153846153845,0.9334771496236547,0.8920508654977313,30.074666682880746,-181.61923133326607,
9,3998.0,4204.0,3989.0,4196.0,22.84665069714839,12.413188625244581,23.692873947351742,-286.5,-9.471413160733544,-57.63411279229712,1.0045727692786517,0.9482807326802037,38.207640979702994,-111.33766882411413,
10,4261.0,4300.0,4017.5,4084.0,31.14015925947416,20.90383275040109,18.660781991140375,-88.5,-8.890128276631348,-60.483870967741936,0.9967782876110515,0.9370303662999461,35.867306835680004,-89.13433538253392,
11,4016.0,4063.5,3810.0,3867.0,31.17155643372848,28.386122130117,17.826001596763284,-185.5,-7.32174955062912,-88.3673469387755,0.9581031193478854,0.9034730091235121,31.802704246154256,-121.88638799571294,
12,3999.0,4063.5,3919.0,4005.0,30.314900153609827,30.875538615604142,20.425665876190152,24.0,-1.172115977791488,-60.20408163265306,0.9946356727760394,0.9494458602501037,36.71436643590987,-84.83973269906002,
13,4139.0,4299.0,4130.0,4285.0,49.45578231292516,36.98074630008781,25.91188568429094,89.0,7.636272293393609,-3.061224489795918,1.0483436903655134,1.0260892470157206,45.319497015116674,-22.248737021146994,
14,4205.0,4330.0,4178.0,4277.0,75.51412872841443,51.76160373164979,33.781568705571985,193.0,1.930409914204012,-10.192307692307692,1.0422555804659324,1.0330294064368093,45.130680120764275,-9.817185079251482,-94.5
15,4220.0,4400.0,4185.0,4391.0,95.0736813630276,73.34786413478905,44.270374982449574,524.0,7.517140058765914,-1.5254237288135593,1.0542617046818727,1.0629130255864054,48.428058586203825,18.832102412604424,-667.5
16,4378.0,4459.0,4334.0,4411.0,93.13112656332993,87.90631221825731,56.17441300007763,406.0,14.067752779932775,-8.888888888888888,1.0321025785015676,1.0616252903163697,49.007032944914855,51.92515840295747,-502.5
17,4590.0,4594.5,4417.0,4498.0,89.60355349054696,92.60278713896815,68.51986270475042,213.0,12.30961298377029,-20.77502691065662,1.0287256426676425,1.0710798904631504,51.55486033626765,101.1225258815595,-617.0
18,4499.0,4570.0,4422.5,4490.0,81.74868272868288,88.1611209275199,78.75593763023684,213.0,4.784130688448074,-25.09003601440576,1.0173562332895274,1.0563711650668173,51.30103133917531,107.7700241017879,-478.0
19,4566.0,4683.0,4516.0,4675.0,84.17617045737545,85.17613555886841,85.43884399568057,284.0,9.305588028992284,-1.6064257028112447,1.0405074560427332,1.087639299257846,56.620001746959616,152.7722678756964,-510.0
20,4600.0,4667.0,4534.5,4554.0,78.78026252215018,81.56837190273615,87.08294554926998,143.0,3.712138465042125,-36.96275071633237,1.006275410995227,1.048028904793685,52.57528795852857,111.03604398188962,-517.0
21,4600.0,4625.0,4444.5,4462.5,59.512028912917025,74.15615396414753,84.33291389844803,-35.5,1.1675357061890823,-82.89473684210526,0.9838179854053221,1.013087846351181,49.684858457616805,72.93296425562616,-275.0
22,4496.0,4524.0,4431.5,4500.0,36.63099742933715,58.30776295480144,77.47390906161469,10.0,0.04446420631392112,-70.24952015355086,0.991997883737848,1.010248408858756,50.87681948519782,56.01807447193976,365.0
23,4464.0,4643.0,4450.0,4604.0,38.481404063078166,44.87481013511077,68.81664690313286,-71.0,2.538975501113594,-31.41153081510934,1.0098484349981356,1.026246865422123,54.122807731299915,74.38833972656637,279.0
24,4620.0,4734.0,4620.0,4704.5,62.86229430521242,45.9915652658759,60.97973284453436,150.5,0.6310160427807521,-9.75206611570248,1.0305585980284775,1.0387502759991167,57.07464089709822,106.04760243073572,130.0
25,4631.0,4645.0,4544.5,4577.0,68.97852554096904,56.77407463641987,56.02087339127111,114.5,0.5050505050504972,-51.900826446280995,1.0016193977591035,1.006464948544287,52.46279089238539,64.91312383028746,395.0
